9/1/2021,SY27,DD6786,1000585700,30,L,1,,20
9/1/2021,SY27,DD6786,1000585700,30,S,1,,20
9/1/2021,SY27,DD6786,1000576825,10,0,0,,20
9/1/2021,SY29,DC2177,1000576952,30,XS,1,,30
9/1/2021,SY29,DC2177,1000576952,30,XL,2,,30
9/1/2021,SY29,DC2177,1000576952,30,S,1,,30
9/1/2021,SY29,DC2177,1000576952,30,M,4,,30
9/1/2021,SY29,DC2177,1000576952,30,L,5,,30
9/1/2021,SY30,AT4586,1000599087,10,0,0,,30
9/1/2021,SY30,DM1605,1000620106,10,M,4,,30
9/1/2021,SY13,CZ9241,1000575911,10,M,1,,30
9/1/2021,SY13,CZ9239,1000576298,20,L,1,,30
9/1/2021,SY13,CZ9241,1000576370,10,0,0,,30
9/1/2021,SY14,CV5848,1000568495,10,0,0,,30
9/1/2021,SY14,CU4611,1000610163,10,M,4,,30
9/1/2021,SY14,CU4611,1000610135,10,M,4,,40
9/1/2021,SY14,CU4611,1000610176,10,0,0,,40
9/1/2021,SY14,CU4611,1000610195,20,0,0,,40
9/1/2021,SY14,CU4611,1000610214,20,0,0,,40
